idx,z_mm,norm_mm,reproj,status,frame_robot_delta_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,ee_x,ee_y,ee_z,joint_state,trans_mm,rot_deg
24,284.5859882347193,287.7014646570344,1.27883264410894,contrast,6.427526473999023,0.2069897177886946,0.24916690690075088,0.25912841113967494,1.4420596096839449,-2.9226124013025117,1.1311987361165121,0.2069897177886946,0.24916690690075088,0.25912841113967494,0.92984676 1.77634048 1.49595642 -1.31666279 0.73300552 1.59399605,41.77923159991516,1.4256548284295456
25,302.75227534240645,319.90284948089,0.8737884001230218,preferred,6.055116653442383,0.2097562847653642,0.29241976159385946,0.2755287410760828,1.3006073309829924,-3.1897215798693495,0.957154981707428,0.2097562847653642,0.29241976159385946,0.2755287410760828,0.99317169 1.88391685 1.69966412 -1.31857014 0.68799114 1.76527786,43.43556117250033,0.2614844878547765
26,256.7682450909941,257.87574398636923,1.6231260298743941,contrast,5.289793014526367,0.2587208094995535,0.26266771348193324,0.24063007662515884,1.0556007159254448,-3.098841414626648,1.1211164687234072,0.2587208094995535,0.26266771348193324,0.24063007662515884,0.83867359 1.96173763 1.66495037 -1.31857014 0.72919083 1.76985550,38.1399097741917,1.1984554825657776
27,294.94771759716474,333.52537312578966,1.3143681238334268,preferred,6.757020950317383,0.2665799592415086,0.29898157482719256,0.32320294137325367,0.8359802188350419,-3.571743003370329,0.7325434088480401,0.2665799592415086,0.29898157482719256,0.32320294137325367,0.88139915 2.00446320 2.04566288 -1.32009602 0.66128826 1.89154625,42.88550299649892,1.9736825857144895
28,261.9102069172125,263.16367722680906,2.1182750301502082,contrast,3.9343833923339844,0.28930548384247,0.25400989297452425,0.2628437920409088,0.782956716761881,-3.2806182773790122,1.0868397773792091,0.28930548384247,0.25400989297452425,0.2628437920409088,0.76466751 1.99187469 1.79503345 -1.32314777 0.73682022 1.84729576,23.442928181775056,2.0892229395394435
29,273.9632534479443,313.6815618082474,1.9868254709525828,preferred,5.587100982666016,0.3268264984524466,0.17025488718902698,0.4042281438950221,-0.5894116017208179,-3.8175925212643063,0.18608792603170898,0.3268264984524466,0.17025488718902698,0.4042281438950221,0.51289368 1.88429832 2.18986034 -1.31361103 0.49572754 2.24403000,86.99527637341288,11.227441356231127
30,264.9769955365938,302.68788940550985,2.839733545254655,preferred,6.217002868652344,0.3579831962460036,0.11962537662675163,0.3996736495615251,-0.921814377922711,-3.7085965179207734,0.16445769923880244,0.3579831962460036,0.11962537662675163,0.3996736495615251,0.35038567 1.91939449 2.22228622 -1.31742573 0.42935085 2.28408527,42.3721723159647,5.383599022974039
31,247.64592689799,250.34639740066262,2.6936523481398895,contrast,5.785226821899414,0.3464437687738467,0.10226781650629915,0.3579995096782467,-1.2129099392968472,-3.319802756211909,-0.18630912004501232,0.3464437687738467,0.10226781650629915,0.3579995096782467,0.29774189 1.83585072 1.96669674 -1.31857014 0.15354347 2.53929234,23.125954747339854,6.889332263589528
32,290.6064568952762,315.4993789838777,2.012477131393977,preferred,6.067037582397461,0.2878690714641497,0.0855538922684688,0.4295810640148534,-1.2253368310897959,-3.4517043677535826,-0.5224026216593639,0.2878690714641497,0.0855538922684688,0.4295810640148534,0.29774189 1.62947273 1.99378204 -1.31857014 0.10547829 2.51716614,48.654708841842044,9.13500012671188
33,309.03656763971827,309.38576295646743,1.5728089865823869,preferred,5.445003509521484,0.2752866998758485,0.07533528559968487,0.39302642512665587,-1.2346555019251895,-3.4073941332062385,-0.2377106845793721,0.2752866998758485,0.07533528559968487,0.39302642512665587,0.28286457 1.55050755 1.77634048 -1.31933308 0.17872143 2.50534058,28.859372043516252,7.230727817312476
34,311.2358680171418,312.7991314722491,1.204731220403363,preferred,6.729602813720703,0.28206432891444627,0.030307946337922085,0.40092152252709895,-1.6689164320946566,-3.0885419448431697,-0.5360818323164432,0.28206432891444627,0.030307946337922085,0.40092152252709895,0.10585976 1.54669285 1.80304432 -1.31895161 -0.01316071 2.67090130,36.195647366281165,5.009258183885728
35,337.35116115432567,343.66838214643934,1.009488809289631,preferred,6.185770034790039,0.24698226302360038,0.02408997368343113,0.42472511375454486,-1.8445792631734497,-2.9997472372253635,-0.7268616110216242,0.24698226302360038,0.02408997368343113,0.42472511375454486,0.09288883 1.42919827 1.78397083 -1.31933308 -0.04253483 2.77962112,36.276808163409314,4.597855900114174
36,283.0502945995299,283.77364200873365,1.375423735415869,contrast,6.390094757080078,0.31076566650055243,0.028628867340993,0.3752249950020412,-1.7766861739423965,-2.9049113538392723,-0.5028291299343958,0.31076566650055243,0.028628867340993,0.3752249950020412,0.08754826 1.64702034 1.81105518 -1.31895161 -0.05321598 2.76741409,41.55046248839696,4.686889408637435
